county,counts,RUCC_2023,urban,share_black
6057,0.0,4.0,0.0,0.0041825839945146435
6059,2.0,1.0,1.0,0.017303277521950735
6061,1.0,1.0,1.0,0.016024279969025553
6063,0.0,9.0,0.0,0.01747236513677347
6065,1.0,1.0,1.0,0.06485410265339217
6067,0.0,1.0,1.0,0.09673889323290284
6069,0.0,1.0,1.0,0.009505913562506909
6071,0.0,1.0,1.0,0.0802226182377269
6073,3.0,1.0,1.0,0.0490335122501871
6075,1.0,1.0,1.0,0.052122970252894855
6077,0.0,2.0,1.0,0.06979852373458334
6079,0.0,2.0,1.0,0.014983856194588554
6081,1.0,1.0,1.0,0.02360561739988039
6083,0.0,2.0,1.0,0.01881599728359816
6085,2.0,1.0,1.0,0.02459495802842825
6087,0.0,2.0,1.0,0.011284715842697454
6089,0.0,3.0,1.0,0.011317228680572732
6091,0.0,8.0,0.0,0.0006495615459564793
6093,0.0,7.0,0.0,0.017281601775724218
6095,1.5,2.0,1.0,0.1341398040014886
6097,0.0,2.0,1.0,0.01570970846582118
6099,0.5,2.0,1.0,0.02970180196862258
6101,0.0,3.0,1.0,0.018954380298748488
6103,0.0,4.0,0.0,0.00905960670288469
6105,0.0,8.0,0.0,0.005563282336578581
6107,0.0,2.0,1.0,0.01663485485107187
6109,0.0,4.0,0.0,0.017070036022663503
6111,0.0,2.0,1.0,0.01832109836676506
6113,0.0,1.0,1.0,0.026229447677235663
6115,0.0,3.0,1.0,0.035831550669120936
8001,0.0,1.0,1.0,0.03402146536976012
8003,0.0,7.0,0.0,0.02118825181657202
8005,0.0,1.0,1.0,0.11003021695126461
8007,0.0,7.0,0.0,0.0030903746137031732
8009,0.0,9.0,0.0,0.00625177607274794
8011,0.0,9.0,0.0,0.050503327077290563
8013,0.0,2.0,1.0,0.009016984421060317
8014,0.0,1.0,1.0,0.014195909047140872
8015,0.0,6.0,0.0,0.014303354599711875
8017,0.0,9.0,0.0,0.0029568302779420462
8019,0.0,1.0,1.0,0.014320568579611753
8021,0.0,9.0,0.0,0.004881910542287901
8023,0.0,9.0,0.0,0.0
8025,0.0,8.0,0.0,0.04403456297773346
8027,0.0,8.0,0.0,0.017161016949152542
8029,0.0,6.0,0.0,0.013426267947194296
8031,1.5,1.0,1.0,0.08967754623308748
8033,0.0,9.0,0.0,0.0
8035,0.0,1.0,1.0,0.015051331376499237
8037,0.0,5.0,0.0,0.00904961126173846
8039,0.0,1.0,1.0,0.002548557748001699
8041,1.0,2.0,1.0,0.06147334573066791
8043,0.0,4.0,0.0,0.04456506213398086
8045,0.0,5.0,0.0,0.005324970189967495
8047,0.0,1.0,1.0,0.008602890571231933
8049,0.0,9.0,0.0,0.008701772346279352
8051,0.0,7.0,0.0,0.008842205210373271
8053,0.0,9.0,0.0,0.01048951048951049
8055,0.0,8.0,0.0,0.0008840430234271402
8057,0.0,9.0,0.0,0.006545454545454545
8059,0.5,1.0,1.0,0.011335390343543689
8061,0.0,9.0,0.0,0.0049504950495049506
8063,0.0,9.0,0.0,0.0008485362749257531
8065,0.0,9.0,0.0,0.001887555615477956
8067,0.0,6.0,0.0,0.005442494566486448
8069,0.0,2.0,1.0,0.009854230693320552
8071,0.0,7.0,0.0,0.01025393985272865
8073,0.0,8.0,0.0,0.07975133214920072
8075,0.0,6.0,0.0,0.009005283712382265
8077,0.0,3.0,1.0,0.00741506933445389
8079,0.0,9.0,0.0,0.015113350125944584
8081,0.0,7.0,0.0,0.006268882175226586
8083,0.0,6.0,0.0,0.009916653804599475
8085,0.0,5.0,0.0,0.002811377811377811
8087,0.0,6.0,0.0,0.031107108216710543
8089,0.0,6.0,0.0,0.012804714706670238
8091,0.0,9.0,0.0,0.019381443298969073
8093,0.0,1.0,1.0,0.0027611596870685687
8095,0.0,9.0,0.0,0.0
8097,0.0,7.0,0.0,0.0013164672886497625
8099,0.0,7.0,0.0,0.00877486210930971
8101,0.0,3.0,1.0,0.018536544582659013
8103,0.0,9.0,0.0,0.003079291762894534
8105,0.0,9.0,0.0,0.0014813523875914954
8107,0.0,7.0,0.0,0.0030121691634202178
8109,0.0,9.0,0.0,0.012246820536975978
8111,0.0,9.0,0.0,0.0
8113,0.0,9.0,0.0,0.0023503216229589312
8115,0.0,9.0,0.0,0.0061000406669377795
8117,0.0,5.0,0.0,0.0019328651504413375
8119,0.0,2.0,1.0,0.007721380095094892
8121,0.0,9.0,0.0,0.019031857674803476
8123,0.0,2.0,1.0,0.013513262040046646
8125,0.0,9.0,0.0,0.013073209975864843
9001,1069.0,2.0,1.0,0.11466198823561392
9003,817.0,1.0,1.0,0.13854219060887835
9005,185.0,4.0,0.0,0.017799378965843122
9007,121.83333333333334,1.0,1.0,0.05415390598415245
9009,803.5,2.0,1.0,0.13817156615025597
9011,181.33333333333334,2.0,1.0,0.05978501176007223
9013,92.83333333333333,1.0,1.0,0.031294964028776975
9015,79.5,4.0,0.0,0.02268611108726814
10001,181.0,3.0,1.0,0.25732738035740066
10003,1047.0,1.0,1.0,0.252287461978375
10005,282.0,4.0,0.0,0.11179474032771476
11001,1.0,1.0,1.0,0.4466181856506732
12001,195.5,2.0,1.0,0.19853279308834018
12003,12.75,1.0,1.0,0.12595079098668
12005,154.83333333333331,3.0,1.0,0.10368058924712213
12007,16.333333333333336,6.0,0.0,0.19349756516757377
12009,550.5,2.0,1.0,0.09720183585367029
12011,4072.0,1.0,1.0,0.2854341911895835
12013,13.333333333333334,8.0,0.0,0.12096948712399913
12015,199.7,3.0,1.0,0.054258617051780755
12017,121.5,3.0,1.0,0.02517644580217002
12019,113.08333333333333,1.0,1.0,0.11011613070251679
12021,481.66666666666663,2.0,1.0,0.06618079008146525
12023,55.333333333333336,4.0,0.0,0.1774200534180322
12027,5.2,6.0,0.0,0.12472448349839833
12029,5.5,8.0,0.0,0.07598347404347044
12031,1103.25,1.0,1.0,0.294360084340891
12033,277.5,2.0,1.0,0.218001555697743
12035,149.5,2.0,1.0,0.09763100590053386
12037,8.0,8.0,0.0,0.12794310006540222
12039,41.0,2.0,1.0,0.5527773381864219
12041,13.5,2.0,1.0,0.049270792274339774
12043,18.35,8.0,0.0,0.1398670278256587
12045,2.5,8.0,0.0,0.1472541926997698
12047,5.0,8.0,0.0,0.34287554569526946
12049,17.0,6.0,0.0,0.057818352059925096
12051,43.666666666666664,4.0,0.0,0.10809097593752377
12053,135.66666666666669,1.0,1.0,0.05162704030646236
12055,105.8,3.0,1.0,0.08964753790499536
12057,1541.0,1.0,1.0,0.16524077462736064
12059,4.5,8.0,0.0,0.07088981755172766
12061,187.0,3.0,1.0,0.0824673105403729
12063,37.33333333333333,6.0,0.0,0.2690619343832567
12065,28.833333333333332,2.0,1.0,0.3296771954182576
12067,5.5,9.0,0.0,0.16564784849574493
12069,346.5,1.0,1.0,0.10518611738419822
